Rating,Mobile Name:,Price,RAM
4.1,"Moto C Plus (Fine Gold, 16 GB)",5999,2
4.1,"Moto C Plus (Pearl White, 16 GB)",5999,2
4.1,"Moto C Plus (Starry Black, 16 GB)",5999,2
4.1,"Moto E3 Power (Black, 16 GB)",6999,2
4.2,"Samsung Galaxy J3 Pro (Gold, 16 GB)",7990,2
4.2,"Samsung Galaxy J3 Pro (Black, 16 GB)",7990,2
3.4,"iVooMi Me5 - 4G VoLTE (Champagne Gold, 16 GB)",4499,2
3.4,"iVooMi Me5 - 4G VoLTE (Black, 16 GB)",4499,2
4.3,"Samsung Galaxy J7 - 6 (New 2016 Edition) (Black, 16 GB)",13800,2
4.3,"Samsung Galaxy J7 - 6 (New 2016 Edition) (White, 16 GB)",13800,2
4.3,"Samsung Galaxy J7 - 6 (New 2016 Edition) (Gold, 16 GB)",13800,2
4.2,"Xolo ERA 2V (Jet Black, 16 GB)",6499,2
3.7,"Sansui Horizon 2S (Rose Gold, 16 GB)",4499,2
4.2,"Samsung Galaxy J3 Pro (White, 16 GB)",7990,2
3.9,"Lenovo A6600 Plus (Black, 16 GB)",5920,2
3.7,"iVooMi Me3 (Teal Blue, 16 GB)",4999,2
3.7,"iVooMi Me3 (Champagne Gold, 16 GB)",4999,2
3.8,"Panasonic P85 (Gold, 16 GB)",6499,2
3.7,"Micromax Canvas Knight 2 (Black & Champagne, 16 GB)",5999,2
4.1,"Intex Aqua 5.5 VR Plus (Champagne, 16 GB)",5499,2
3.6,"Intex Aqua Crystal Plus (Black, 16 GB)",4999,2
4.1,"Asus Zenfone Max (Black, 16 GB)",7839,2
4.2,"Honor 5X (Grey, 16 GB)",9999,2
3.8,"Panasonic P85 (Grey, 16 GB)",6499,2
3.8,"Yu Yunique 2 (Coal Black, 16 GB)",5249,2
3.8,"Yu Yunique 2 (Champagne, 16 GB)",5249,2
3.8,"Xolo ERA 1X Pro (Black, 16 GB)",4999,2
3.8,"Xolo ERA 1X Pro (Gold, 16 GB)",4999,2
4.1,"Asus Zenfone Max (Black, 32 GB)",8499,2
4.4,"Samsung Galaxy J7 Nxt (Gold, 16 GB)",11490,2
3.7,"iVooMi Me3 (Midnight Black, 16 GB)",4999,2
3.9,"Micromax Evok Power (Grey, 16 GB)",6999,2
3.8,"Karbonn Aura Note 2 with 4G VoLTE (Coffee & Champagne, 16 GB)",5598,2
3.8,"Karbonn Aura Note 2 with 4G VoLTE (Blue & Champagne, 16 GB)",5598,2
4.2,"Samsung Galaxy J5 - 6 (New 2016 Edition) (Black, 16 GB)",10090,2
4.2,"Samsung Galaxy J5 - 6 (New 2016 Edition) (Gold, 16 GB)",10090,2
3.9,"MOTO E4 (Blush Gold, 16 GB)",8449,2
4,"Nokia 3 (Copper White, 16 GB)",9270,2
4.4,"Samsung Galaxy J7 Nxt (Black, 16 GB)",11490,2
4,"Micromax Sliver 5 Q450 (Black, 16 GB)",6390,2
4.1,"OPPO A37f (Gold, 16 GB)",9230,2
3.4,"Sansui Horizon 2 - 4G VoLTE (Silver Grey / Grey, 16 GB)",4999,2
3.4,"Sansui Horizon 2 - 4G VoLTE (Nova Grey, 16 GB)",4999,2
3.3,"Swipe Elite Plus (White / Ivory White, 16 GB)",5999,2
3.3,"Swipe Elite Plus (MidnightBlue,Blue, 16 GB)",5999,2
3.8,"Karbonn Aura Note 4G (Champagne, 16 GB)",5625,2
4.1,"Asus Zenfone Max (Black, 32 GB)",8999,2
3.7,"Yu Yuphoria (White + champ, 16 GB)",6499,2
3.4,"Swipe Konnect Power (Gold, 16 GB)",4999,2
4.1,"Samsung Galaxy J2 Pro (Gold, 16 GB)",9090,2
4.1,"OPPO A37f (Gold, 16 GB)",9990,2
4.1,"OPPO A37f (Black, 16 GB)",9990,2
3.3,"Karbonn Aura Note 2 (Black Champagne, 16 GB)",5599,2
3.8,"Karbonn Aura Note 4G (Black, 16 GB)",5499,2
4,"Micromax Canvas Sliver 5 (Black, 16 GB)",6670,2
3.8,"Sony Xperia XA Dual (Lime Gold, 16 GB)",12990,2
4,"Apple iPhone SE (Gold, 128 GB)",28490,2
3.5,"Lava X50 4G (Blue Silver, 8 GB)",6499,2
3.8,"Lava X50 Plus (White and Gold, 32 GB)",6999,2
3.8,"Sony Xperia XA Dual (Graphite Black, 16 GB)",13990,2
3.4,"Coolpad Note 5 Lite C (Gold, 16 GB)",7799,2
3.9,"MOTO E4 (Iron Grey, 16 GB)",8049,2
4.1,"OPPO A37f (Grey, 16 GB)",9990,2
3.9,"Xolo ERA 2X with Finger Print Sensor (Black and Gun, 16 GB)",6223,2
4.8,"Alcatel U5 HD (Metallic Gold, 16 GB)",5999,2
4.3,"VIVO Y53 (Crown Gold, 16 GB)",9990,2
4.3,"VIVO Y53 (Matte Black, 16 GB)",9990,2
4.3,"VIVO Y53 (Space Grey, 16 GB)",9990,2
4.1,"Micromax Canvas 1 (Chrome Black, 16 GB)",6750,2
3.5,"ZOPO Color F5 (Gold, 16 GB)",5975,2
4.2,"Moto X (2nd Generation) (Black Leather, 16 GB)",16999,2
4.2,"Moto X (2nd Generation) (Black, 32 GB)",17999,2
3.3,Swipe Elite 3- 4G with VoLTE,5499,2
3.3,Swipe Elite 3- 4G with VoLTE,5499,2
4.2,"Honor 5C (Gold, 16 GB)",7999,2
4.2,"Honor 5C (Silver, 16 GB)",7999,2
4.2,"Nokia 5 (Copper, 16 GB)",12984,2
4.2,"Nokia 5 (Matte Black, 16 GB)",12990,2
3.5,"Swipe Elite Power (Space Grey, 16 GB)",6499,2
3.5,"Swipe Elite Power (Champagne Gold, 16 GB)",6499,2
3.9,"Xolo Era 2X (2GB) (Latte Gold, 16 GB)",6222,2
4,"Moto E 4th Gen (Blush Gold with White TP, 16 GB)",8799,2
3.8,"Coolpad Mega 3 (Champagne and White, 16 GB)",7999,2
4.2,"Nokia 5 (Tempered Blue, 16 GB)",13333,2
